date,open,high,low,close,volume
2021-12-07,10.380000114440918,10.539999961853027,10.319999694824219,10.395999908447266,6465853
2021-12-08,10.35200023651123,10.430000305175781,10.197999954223633,10.3100004196167,4025443
2021-12-09,10.324000358581543,10.354000091552734,10.100000381469727,10.13599967956543,3426217
2021-12-10,10.11400032043457,10.211999893188477,10.0600004196167,10.100000381469727,5451872
2021-12-13,10.144000053405762,10.27400016784668,9.885000228881836,9.885000228881836,4392608
2021-12-14,9.930000305175781,10.074000358581543,9.895999908447266,9.994000434875488,4966050
2021-12-15,9.984999656677246,10.0,9.793000221252441,9.819999694824219,8535522
2021-12-16,9.930000305175781,10.07800006866455,9.902999877929688,9.998000144958496,7711773
2021-12-17,9.916999816894531,9.98900032043457,9.831999778747559,9.942999839782715,30050546
2021-12-20,9.6899995803833,9.87600040435791,9.630000114440918,9.842000007629395,18273226
2021-12-21,9.979999542236328,10.112000465393066,9.862000465393066,10.079999923706055,7629950
2021-12-22,10.088000297546387,10.17199993133545,10.020000457763672,10.152000427246094,3343479
2021-12-23,10.178000450134277,10.442000389099121,10.152000427246094,10.37399959564209,7561362
2021-12-27,10.295999526977539,10.576000213623047,10.27400016784668,10.503999710083008,4732857
2021-12-28,10.529999732971191,10.666000366210938,10.515999794006348,10.595999717712402,7363456
2021-12-29,10.553999900817871,10.62399959564209,10.394000053405762,10.477999687194824,3405221
2021-12-30,10.432000160217285,10.510000228881836,10.407999992370605,10.435999870300293,6822415
2022-01-03,10.456000328063965,10.696000099182129,10.4399995803833,10.64799976348877,11340948
2022-01-04,10.699999809265137,10.97599983215332,10.697999954223633,10.892000198364258,51878743
2022-01-05,10.899999618530273,11.1899995803833,10.892000198364258,11.17199993133545,24976847
2022-01-06,11.029999732971191,11.246000289916992,10.899999618530273,11.144000053405762,11476599
2022-01-07,10.960000038146973,10.968000411987305,10.661999702453613,10.831999778747559,5794599
2022-01-10,10.850000381469727,10.911999702453613,10.729999542236328,10.779999732971191,4189280
2022-01-11,10.755999565124512,10.902000427246094,10.739999771118164,10.892000198364258,4247483
2022-01-12,10.984000205993652,11.178000450134277,10.970000267028809,11.086000442504883,8870360
2022-01-13,11.086000442504883,11.199999809265137,11.031999588012695,11.199999809265137,4061481
2022-01-14,11.180000305175781,11.265999794006348,11.086000442504883,11.241999626159668,4262272
2022-01-17,11.204000473022461,11.276000022888184,11.092000007629395,11.144000053405762,19565377
2022-01-18,11.199999809265137,11.289999961853027,11.071999549865723,11.12399959564209,56757167
2022-01-19,11.065999984741211,11.40999984741211,11.050000190734863,11.131999969482422,34217683
2022-01-20,11.074000358581543,11.083999633789062,10.720000267028809,10.8100004196167,23003012
2022-01-21,10.6899995803833,10.753999710083008,10.491999626159668,10.663999557495117,24737724
2022-01-24,10.605999946594238,10.736000061035156,10.281999588012695,10.423999786376953,10941715
2022-01-25,10.343999862670898,10.734000205993652,10.324000358581543,10.715999603271484,10805458
2022-01-26,10.789999961853027,11.133999824523926,10.765999794006348,11.041999816894531,8075117
2022-01-27,10.868000030517578,11.37399959564209,10.829999923706055,11.246000289916992,6940069
2022-01-28,11.244000434875488,11.350000381469727,11.112000465393066,11.1899995803833,6204112
2022-01-31,11.244000434875488,11.293999671936035,11.105999946594238,11.241999626159668,6169195
2022-02-01,11.28600025177002,11.425999641418457,11.11400032043457,11.383999824523926,9446366
2022-02-02,11.37600040435791,11.432000160217285,11.161999702453613,11.326000213623047,6374473
2022-02-03,11.326000213623047,11.425999641418457,11.204000473022461,11.329999923706055,5208055
2022-02-04,11.420000076293945,11.586000442504883,11.392000198364258,11.48799991607666,7607950
2022-02-07,11.54800033569336,11.593999862670898,11.37399959564209,11.541999816894531,6036712
2022-02-08,11.571999549865723,11.814000129699707,11.37399959564209,11.395999908447266,6494862
